algorithm,resample,mtry,min_n,n,accuracy,sens,spec,bal_accuracy,roc_auc
random_forest,smote,2,2,10,0.9509774352944986,1,0,0.5,0.5335895993663957
random_forest,smote,2,6.5,10,0.9508408232726406,0.9998612395929695,0,0.49993061979648473,0.5321576054858658
random_forest,smote,2,11,10,0.9508408232726406,0.9998612395929695,0,0.49993061979648473,0.5363587926989132
random_forest,smote,2,15.5,10,0.9509774352944986,1,0,0.5,0.5434638238741736
random_forest,smote,2,20,10,0.9508408232726406,0.9998612395929695,0,0.49993061979648473,0.5394499225277872
random_forest,smote,7.333333333333333,2,10,0.9350579231680045,0.9820026101236354,0.010166903021708302,0.49608475657267187,0.5507034587260078
random_forest,smote,7.333333333333333,6.5,10,0.9369958733007328,0.9839504468294386,0.010838501976551502,0.49739447440299506,0.5566130436628047
random_forest,smote,7.333333333333333,11,10,0.9362908264618085,0.9837880788245985,0.005825242718446602,0.4948066607715226,0.5521594177236269
random_forest,smote,7.333333333333333,15.5,10,0.9366665123420551,0.9839438306498561,0.008206195099398983,0.4960750128746275,0.5470714808106608
random_forest,smote,7.333333333333333,20,10,0.938559460739617,0.9860202091240581,0.007235321312991216,0.4966277652185247,0.5531069849679731
random_forest,smote,12.666666666666666,2,10,0.9419645792272577,0.9898830580250404,0.004588534442903375,0.4972357962339719,0.5811486396579071
random_forest,smote,12.666666666666666,6.5,10,0.9417605352323017,0.989923072196738,0.001675913083680074,0.49579949264020906,0.5570356946808727
random_forest,smote,12.666666666666666,11,10,0.9404548070708358,0.9878554031162123,0.00917706888580675,0.4985162360010096,0.5714922108667366
random_forest,smote,12.666666666666666,15.5,10,0.9412674456298441,0.988871415665674,0.006310679611650485,0.49759104763866224,0.5780999544425109
random_forest,smote,12.666666666666666,20,10,0.9409769074081202,0.9884248449331328,0.008206195099398983,0.4983155200162659,0.5768650088636879
random_forest,smote,18,2,10,0.9476409986589819,0.995844794586147,0.005825242718446602,0.5008350186522968,0.5787422249412696
random_forest,smote,18,6.5,10,0.9464657556344406,0.9950514453699167,4.854368932038835e-4,0.49776844113156027,0.5786111392857415
random_forest,smote,18,11,10,0.9496639738892334,0.9981781269959735,0.004368932038834952,0.5012735295174042,0.5808481786500985
random_forest,smote,18,15.5,10,0.9501158738924466,0.9988113188618248,0.002912621359223301,0.500861970110524,0.5716725555935305
random_forest,smote,18,20,10,0.9493303768428005,0.9978185633854783,0.0048543689320388345,0.5013364661587586,0.5804444149718263
random_forest,smote,23.333333333333332,2,10,0.9488091535614347,0.9975992160705537,4.854368932038835e-4,0.49904232648187874,0.5856243848078698
random_forest,smote,23.333333333333332,6.5,10,0.9510173554541792,1,4.854368932038835e-4,0.500242718446602,0.5897422774541814
random_forest,smote,23.333333333333332,11,10,0.9503472897930041,0.9990563109887489,0.002912621359223301,0.5009844661739861,0.5854941131449629
random_forest,smote,23.333333333333332,15.5,10,0.9508422392602489,0.9998530132288094,0,0.4999265066144047,0.5929795342307109
random_forest,smote,23.333333333333332,20,10,0.949666636432556,0.998530622457115,4.854368932038835e-4,0.49950802967515945,0.5860209815911633
random_forest,smote,28.666666666666664,2,10,0.9497709613563902,0.9986881158947108,0,0.4993440579473554,0.5934002004759744
random_forest,smote,28.666666666666664,6.5,10,0.9507521085707491,0.9997550220480157,0,0.49987751102400785,0.593413420499229
random_forest,smote,28.666666666666664,11,10,0.9502125657546239,0.9991675651322742,0,0.4995837825661371,0.5893342775155448
random_forest,smote,28.666666666666664,15.5,10,0.9507521085707491,0.9997550220480157,0,0.49987751102400785,0.5870305452450306
random_forest,smote,28.666666666666664,20,10,0.9495804096072521,0.9984811366976972,0,0.4992405683488486,0.5904652742239564
random_forest,smote,34,2,10,0.9472872222100771,0.9959878600051703,0,0.49799393000258513,0.5833109510330784
random_forest,smote,34,6.5,10,0.9475755324755308,0.995820840239211,0.005339805825242718,0.5005803230322269,0.5811454509703389
random_forest,smote,34,11,10,0.949219886849253,0.9980891719745223,0,0.49904458598726115,0.5835573308649079
random_forest,smote,34,15.5,10,0.9498958670205013,0.9988241058304752,0,0.4994120529152376,0.5860251534728063
random_forest,smote,34,20,10,0.9494606491282102,0.9981766564889107,0.001941747572815534,0.5000592020308632,0.5893531012792318
random_forest,smote,39.33333333333333,2,10,0.9493705184387103,0.9982091568261684,4.854368932038835e-4,0.49934729685968615,0.581784439227575
random_forest,smote,39.33333333333333,6.5,10,0.9489044294360037,0.9977462028417442,0,0.4988731014208721,0.5876140573679124
random_forest,smote,39.33333333333333,11,10,0.9483185799542553,0.997109260166585,0,0.4985546300832925,0.5861010062328744
random_forest,smote,39.33333333333333,15.5,10,0.9481833839200056,0.9969622733953944,0,0.4984811366976972,0.5856889171518435
random_forest,smote,39.33333333333333,20,10,0.949174821504503,0.9980401763841255,0,0.4990200881920627,0.5880489328387583
random_forest,smote,44.666666666666664,2,10,0.9456648697990812,0.9942240187508831,0,0.49711200937544153,0.5796724211632398
random_forest,smote,44.666666666666664,6.5,10,0.946330559600191,0.9949044585987261,4.854368932038835e-4,0.497694947745965,0.5825046554787384
random_forest,smote,44.666666666666664,11,10,0.9457949206482615,0.9942725270950626,0.0011904761904761904,0.4977315016427694,0.5703513693078877
random_forest,smote,44.666666666666664,15.5,10,0.9475125489338265,0.9962328379571546,0,0.4981164189785773,0.5778967230259983
random_forest,smote,44.666666666666664,20,10,0.9484589211735741,0.9972617453554887,0,0.49863087267774436,0.5793523707093929
random_forest,smote,50,2,10,0.9449913722695795,0.993098590678818,0.004368932038834952,0.49873376135882647,0.5801028584349681
random_forest,smote,50,6.5,10,0.9450092904665339,0.9929855747519478,0.005825242718446602,0.49940540873519723,0.5801144607521661
random_forest,smote,50,11,10,0.945614659269262,0.9941695247427731,0,0.49708476237138655,0.5826230785642437
random_forest,smote,50,15.5,10,0.9462455740957604,0.9948554630083293,0,0.49742773150416464,0.5854243762503677
