algorithm,resample,mtry,min_n,n,accuracy,sens,spec,bal_accuracy,roc_auc
random_forest,up,2,2,10,0.9509774352944986,1,0,0.5,0.5436103943952606
random_forest,up,2,6.5,10,0.9509774352944986,1,0,0.5,0.5434603570628403
random_forest,up,2,11,10,0.9509774352944986,1,0,0.5,0.5430389153979185
random_forest,up,2,15.5,10,0.9509774352944986,1,0,0.5,0.5429553135915176
random_forest,up,2,20,10,0.9509774352944986,1,0,0.5,0.5422322113516609
random_forest,up,7.333333333333333,2,10,0.9509774352944986,1,0,0.5,0.5343181223952695
random_forest,up,7.333333333333333,6.5,10,0.9509774352944986,1,0,0.5,0.5351541637783331
random_forest,up,7.333333333333333,11,10,0.9509774352944986,1,0,0.5,0.5316283929174894
random_forest,up,7.333333333333333,15.5,10,0.9509774352944986,1,0,0.5,0.5308506733400724
random_forest,up,7.333333333333333,20,10,0.9509774352944986,1,0,0.5,0.5405818244035946
random_forest,up,12.666666666666666,2,10,0.9509774352944986,1,0,0.5,0.5253328855593972
random_forest,up,12.666666666666666,6.5,10,0.9509774352944986,1,0,0.5,0.5238532648593639
random_forest,up,12.666666666666666,11,10,0.9509774352944986,1,0,0.5,0.5320140803986286
random_forest,up,12.666666666666666,15.5,10,0.9509774352944986,1,0,0.5,0.5300860174120263
random_forest,up,12.666666666666666,20,10,0.9509774352944986,1,0,0.5,0.5273195119840979
random_forest,up,18,2,10,0.9509774352944986,1,0,0.5,0.5334058570383056
random_forest,up,18,6.5,10,0.9509774352944986,1,0,0.5,0.5325257143087301
random_forest,up,18,11,10,0.9509774352944986,1,0,0.5,0.5358013993918574
random_forest,up,18,15.5,10,0.9509774352944986,1,0,0.5,0.5267392264199728
random_forest,up,18,20,10,0.9509774352944986,1,0,0.5,0.5156318604068275
random_forest,up,23.333333333333332,2,10,0.9509774352944986,1,0,0.5,0.5404111693561213
random_forest,up,23.333333333333332,6.5,10,0.9509774352944986,1,0,0.5,0.539502838492778
random_forest,up,23.333333333333332,11,10,0.9509774352944986,1,0,0.5,0.5270340440388255
random_forest,up,23.333333333333332,15.5,10,0.9509774352944986,1,0,0.5,0.5298623396668682
random_forest,up,23.333333333333332,20,10,0.9509774352944986,1,0,0.5,0.5479907858839245
random_forest,up,28.666666666666664,2,10,0.9509774352944986,1,0,0.5,0.526348914163073
random_forest,up,28.666666666666664,6.5,10,0.9509774352944986,1,0,0.5,0.5278517901361434
random_forest,up,28.666666666666664,11,10,0.9509774352944986,1,0,0.5,0.5215257173630851
random_forest,up,28.666666666666664,15.5,10,0.9509774352944986,1,0,0.5,0.5266811378390551
random_forest,up,28.666666666666664,20,10,0.9509774352944986,1,0,0.5,0.5321907088730475
random_forest,up,34,2,10,0.9509774352944986,1,0,0.5,0.5328670585466778
random_forest,up,34,6.5,10,0.9509774352944986,1,0,0.5,0.5240821751009423
random_forest,up,34,11,10,0.9509774352944986,1,0,0.5,0.5165588123152556
random_forest,up,34,15.5,10,0.9509774352944986,1,0,0.5,0.5259802841804798
random_forest,up,34,20,10,0.9509774352944986,1,0,0.5,0.5196174372520261
random_forest,up,39.33333333333333,2,10,0.9509774352944986,1,0,0.5,0.5247699906607807
random_forest,up,39.33333333333333,6.5,10,0.9509774352944986,1,0,0.5,0.5209872891415376
random_forest,up,39.33333333333333,11,10,0.9509774352944986,1,0,0.5,0.5232163826972858
random_forest,up,39.33333333333333,15.5,10,0.9509774352944986,1,0,0.5,0.5242215208607214
random_forest,up,39.33333333333333,20,10,0.9509774352944986,1,0,0.5,0.534140001444735
random_forest,up,44.666666666666664,2,10,0.9509774352944986,1,0,0.5,0.5321091855352801
random_forest,up,44.666666666666664,6.5,10,0.9509774352944986,1,0,0.5,0.5337639771843842
random_forest,up,44.666666666666664,11,10,0.9509774352944986,1,0,0.5,0.5417630740804695
random_forest,up,44.666666666666664,15.5,10,0.9509774352944986,1,0,0.5,0.5235684776418625
random_forest,up,44.666666666666664,20,10,0.9509774352944986,1,0,0.5,0.5314508147754684
random_forest,up,50,2,10,0.9509774352944986,1,0,0.5,0.5423124576858781
random_forest,up,50,6.5,10,0.9509774352944986,1,0,0.5,0.5385663313535091
random_forest,up,50,11,10,0.9509774352944986,1,0,0.5,0.5374864056800845
random_forest,up,50,15.5,10,0.9509774352944986,1,0,0.5,0.5350632247818006
random_forest,up,50,20,10,0.9509774352944986,1,0,0.5,0.5206323032303556
