algorithm,resample,mtry,min_n,n,accuracy,sens,spec,bal_accuracy,roc_auc
random_forest,smote,5,2,10,0.9393212801511963,0.9873018665693752,0.0036271408312425002,0.49546450370030887,0.5500189185968501
random_forest,smote,5,10,10,0.938946523445054,0.9864247417127023,0.008301516308497873,0.4973631290106001,0.5516910138696987
random_forest,smote,5,20,10,0.9415743038847362,0.9896296581825437,0.00347441911203229,0.496552038647288,0.5411810647737749
random_forest,smote,10,2,10,0.9359399797017149,0.9830102501688808,0.00917706888580675,0.49609365952734374,0.5529063100764993
random_forest,smote,10,10,10,0.9396554964250866,0.9873456668554295,0.005779010633379565,0.49656233874440453,0.5634500019177531
random_forest,smote,10,20,10,0.9437523312852348,0.9920858383305653,0.001675913083680074,0.4968808757071227,0.5631901202612911
random_forest,smote,20,2,10,0.9472603867188479,0.9959304170926803,5.952380952380952e-4,0.4982628275939592,0.5881272389015305
random_forest,smote,20,10,10,0.9482447820422076,0.9970579417491239,0,0.49852897087456194,0.5837064426794254
random_forest,smote,20,20,10,0.948627470959986,0.9969642340714782,0.005339805825242718,0.5011520199483604,0.5814411581208601
random_forest,smote,50,2,10,0.9434237236760267,0.99126345471206,0.005825242718446602,0.49854434871525327,0.5808808902154208
random_forest,smote,50,10,10,0.9462455740957604,0.9948554630083293,0,0.49742773150416464,0.580199860521987
random_forest,smote,50,20,10,0.945995762767538,0.9945834831368005,0,0.4972917415684002,0.5839807345506817
