algorithm,resample,mtry,min_n,n,accuracy,sens,spec,bal_accuracy,roc_auc
random_forest,up,5,2,10,0.9509774352944986,1,0,0.5,0.5445612199469936
random_forest,up,5,10,10,0.9509774352944986,1,0,0.5,0.5389834850315669
random_forest,up,5,20,10,0.9509774352944986,1,0,0.5,0.5440068826281221
random_forest,up,10,2,10,0.9509774352944986,1,0,0.5,0.5275087483361693
random_forest,up,10,10,10,0.9509774352944986,1,0,0.5,0.5309299355862602
random_forest,up,10,20,10,0.9509774352944986,1,0,0.5,0.5423369707080665
random_forest,up,20,2,10,0.9509774352944986,1,0,0.5,0.540726738281996
random_forest,up,20,10,10,0.9509774352944986,1,0,0.5,0.5295297981823399
random_forest,up,20,20,10,0.9509774352944986,1,0,0.5,0.5179038104734467
random_forest,up,50,2,10,0.9509774352944986,1,0,0.5,0.5428396357159504
random_forest,up,50,10,10,0.9509774352944986,1,0,0.5,0.5329738269129942
random_forest,up,50,20,10,0.9509774352944986,1,0,0.5,0.5209690596494875
