algorithm,resample,neighbors,n,accuracy,sens,spec,bal_accuracy,roc_auc
knn,down,5,10,0.7090486816269946,0.7358952675157917,0.20445358946563644,0.4701744284907141,0.45084629730570336
knn,down,10,10,0.7121244110010686,0.7359338450070251,0.2363583004143299,0.48614607271067745,0.4560482963225923
knn,down,15,10,0.705332692035003,0.7283427641916874,0.24093679400395884,0.48463977909782313,0.4520763884888579
knn,down,20,10,0.7003785145514358,0.7232211930886386,0.2439226355797234,0.48357191433418106,0.45473619458252657
knn,down,25,10,0.6970197397528516,0.7198406710196705,0.24980185558501858,0.48482126330234454,0.45764340301456935
knn,down,30,10,0.6924883342291411,0.715426054924281,0.2431680733974428,0.47929706416086193,0.4613711980486631
knn,down,35,10,0.6911411334286854,0.7140923199875919,0.24484802574026618,0.47947017286392907,0.4666298484482095
knn,down,40,10,0.6925233253531661,0.7156574878519608,0.243127080117783,0.4793922839848719,0.46876922541439914
knn,down,45,10,0.6914600613950678,0.7141499930432955,0.246043890893027,0.4800969419681613,0.4723378779869935
knn,down,50,10,0.6925422702582041,0.7150126386081034,0.24634105370296447,0.48067684615553397,0.4776992176071833
knn,down,55,10,0.6965515436452455,0.7189189358591357,0.24809317748937224,0.48350605667425395,0.48009700476533695
knn,down,60,10,0.6977615071557226,0.7197009997383975,0.25435040125266395,0.4870257004955308,0.4815207162120471
knn,down,65,10,0.6978573938255543,0.719538795147399,0.2548534911088529,0.487196143128126,0.48271627267022965
knn,down,70,10,0.6992669974836493,0.7210720409880683,0.254368054215649,0.48772004760185866,0.4835868055892956
knn,down,75,10,0.6994325340536975,0.7211608293009646,0.25641412996730856,0.4887874796341366,0.48376731604909373
