algorithm,resample,neighbors,n,accuracy,sens,spec,bal_accuracy,roc_auc
knn,none,5,10,0.8993907397095536,0.9437636749808578,0.038527892806676796,0.4911457838937673,0.49963410510103906
knn,none,10,10,0.929133876006569,0.9760141744218243,0.02064868376972057,0.49833142909577244,0.5068467454349798
knn,none,15,10,0.9412141786661109,0.9894064082512757,0.004740756042140053,0.4970735821467079,0.496962649575868
knn,none,20,10,0.9425472970797616,0.9908849314273461,0.002127659574468085,0.49650629550090714,0.49093336197727644
knn,none,25,10,0.9444892121010129,0.9929488277058649,0,0.49647441385293245,0.48750193743784453
knn,none,30,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.4825635228220133
knn,none,35,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.47344106925927193
knn,none,40,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.47153574974299883
knn,none,45,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.46959060494637767
knn,none,50,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.46916470376272196
knn,none,55,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.47287994541213596
knn,none,60,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.4724161179230563
knn,none,65,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.47181052654562977
knn,none,70,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.4714481552829329
knn,none,75,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.47182935946327637
