algorithm,resample,neighbors,n,accuracy,sens,spec,bal_accuracy,roc_auc
knn,smote,5,10,0.29855978384173915,0.28335371631308526,0.6069641645590259,0.44515894043605564,0.4222169987138485
knn,smote,10,10,0.30949713443788546,0.2958500412662594,0.5698573680330771,0.4328537046496682,0.421002002555856
knn,smote,15,10,0.3193138839922766,0.30663105232329846,0.5591633587418066,0.4328972055325525,0.4266436293849082
knn,smote,20,10,0.33377735042341733,0.3226338648218899,0.5261543352378449,0.42439410002986744,0.4290391006383414
knn,smote,25,10,0.3416805173185184,0.3315764349709589,0.5086149338497593,0.42009568441035916,0.4308289697569867
knn,smote,30,10,0.348160988888841,0.33857429943872264,0.5006265162037025,0.41960040782121255,0.4278383306446738
knn,smote,35,10,0.3552332145740649,0.34630873488807973,0.491431086550942,0.41886991071951085,0.4262321941692859
knn,smote,40,10,0.3621667843798663,0.35353074609452384,0.48444228613959595,0.4189865161170599,0.4260487608774616
knn,smote,45,10,0.3712825101285106,0.3631968143267311,0.48161309924639206,0.4224049567865616,0.42617658767453936
knn,smote,50,10,0.3804867062070548,0.372935279060624,0.473003224375391,0.4229692517180075,0.4274658821073894
knn,smote,55,10,0.3942180581874118,0.38750790657594847,0.4648367886135323,0.4261723475947404,0.427432529973039
knn,smote,60,10,0.40695482025207863,0.4009271525692104,0.4595736307187954,0.4302503916440029,0.4262519253281484
knn,smote,65,10,0.4166626646294098,0.4111089735927388,0.45897839262355733,0.43504368310814806,0.4254582406997877
knn,smote,70,10,0.42450335914803833,0.41959179506307015,0.45470730318065594,0.43714954912186305,0.4244967717508701
knn,smote,75,10,0.43166760837276763,0.42724699638192304,0.45224065992222895,0.439743828152076,0.4235266124946135
