subid,long,lat,description,final,notes
43,-89.2958,43.05823,reintegration counseling,recovery and health,
79,-89.458,43.0399,sober living interview,recovery and health,
156,-89.4014,43.04242,sober living meet up,recovery and health,
32,-89.3489,43.12631,social service - help w/ disability app,recovery and health,
224,-89.496,43.0614,spa,recovery and health,
252,-89.4908,43.05384,spa,recovery and health,
236,-89.6078,43.44627,therapist,recovery and health,
93,-89.2354,42.34647,yoga retreat,recovery and health,
31,-89.4181,43.17636,school,school,
31,-89.4219,43.15555,school,school,
43,-80.8469,31.99947,air bnb,temporary residence,
48,-87.6947,41.92578,air bnb,temporary residence,
211,-85.6509,42.20943,air bnb,temporary residence,
231,-70.7627,42.98697,air bnb,temporary residence,
248,-99.3545,46.27924,air bnb,temporary residence,
221,-105.048,39.77226,airbnb,temporary residence,
221,-105.957,35.68268,airbnb,temporary residence,
6,-87.7945,41.86496,airbnb (hotel),temporary residence,
30,-89.3807,43.08294,bed and breakfast,temporary residence,
23,-91.9078,44.26565,cabin,temporary residence,
54,-89.5227,45.94317,cabin,temporary residence,
240,-89.3125,45.80946,cabin,temporary residence,
44,-109.634,38.70135,camping,temporary residence,
76,-87.7955,43.49866,camping,temporary residence,
252,-89.0297,42.9804,camping,temporary residence,
259,-89.0982,44.29031,camping,temporary residence,
42,-89.752,43.20644,campsite,temporary residence,
48,-89.273,43.46513,campsite,temporary residence,
40,-87.6473,44.23182,condo,temporary residence,
40,-87.6459,44.22811,condo,temporary residence,
82,-89.3779,43.07869,day shelter,temporary residence,
6,-77.0749,38.89183,hotel,temporary residence,
16,-117.167,32.71752,hotel,temporary residence,
16,-89.4128,43.06753,hotel,temporary residence,
25,-93.2622,44.8604,hotel,temporary residence,
34,-87.915,43.0407,hotel,temporary residence,
37,-93.6442,41.53874,hotel,temporary residence,
52,-89.3111,43.12477,hotel,temporary residence,
80,-89.5012,43.05229,hotel,temporary residence,
80,-87.7384,41.65921,hotel,temporary residence,
100,-81.5424,30.33837,hotel,temporary residence,
103,-86.596,30.39734,hotel,temporary residence,
117,-87.2988,45.04107,hotel,temporary residence,
128,-90.1947,38.6239,hotel,temporary residence,
130,-116.548,33.81789,hotel,temporary residence,
130,-116.547,33.82613,hotel,temporary residence,
131,-104.985,39.74561,hotel,temporary residence,
149,-88.5848,43.94534,hotel,temporary residence,
161,-87.1629,45.17231,hotel,temporary residence,
163,-89.3805,43.07274,hotel,temporary residence,
166,-81.4966,28.33461,hotel,temporary residence,
166,-98.0457,43.70119,hotel,temporary residence,
179,-89.5071,44.52496,hotel,temporary residence,
179,-93.3341,44.85921,hotel,temporary residence,
180,-105.236,20.6024,hotel,temporary residence,
180,-87.9115,42.94848,hotel,temporary residence,
193,-87.9321,42.91491,hotel,temporary residence,
197,-88.0195,41.98692,hotel,temporary residence,
207,-99.2263,19.46956,hotel,temporary residence,
207,-87.9315,42.92559,hotel,temporary residence,
224,-87.9835,42.04638,hotel,temporary residence,
241,-87.6289,41.88944,hotel,temporary residence,
241,-89.6383,44.86679,hotel,temporary residence,
242,-89.7797,43.66168,hotel,temporary residence,
243,-90.067,29.94599,hotel,temporary residence,
259,-93.1444,45.06066,hotel,temporary residence,
262,-77.3521,38.95035,hotel,temporary residence,
38,-88.1318,41.80496,hotel vb,temporary residence,
25,-80.9751,29.16348,housing on vacation,temporary residence,
25,-82.7062,28.36086,housing on vacation,temporary residence,
191,-89.8058,44.20186,lodge,temporary residence,
44,-87.9173,43.11634,motel,temporary residence,
77,-89.3134,43.12256,motel,temporary residence,
180,-82.1015,26.42776,motel,temporary residence,
44,-155.879,19.9155,resort,temporary residence,
241,-87.2988,45.04107,resort,temporary residence,
51,-88.0306,43.02722,temp home still live at 11 gina ct. mad,temporary residence,
99,-90.3789,45.73954,vacation cabin,temporary residence,
86,-88.5664,42.5443,vacation home,temporary residence,
31,-81.7292,25.93313,vacation house,temporary residence,
188,-89.8243,44.20862,vacation house,temporary residence,
100,-81.5438,30.33855,vacation location,temporary residence,
80,-88.96,42.27497,bus,travel stop,
11,-87.9173,43.03437,bus station,travel stop,
80,-87.6396,41.87885,bus station,travel stop,
80,-87.6265,41.87838,bus station,travel stop,
118,-89.3941,43.03935,bus station,travel stop,
32,-89.3832,43.07683,bus stop,travel stop,
32,-89.3071,43.12133,bus stop,travel stop,
32,-89.3828,43.07611,bus stop,travel stop,
64,-89.3947,43.03894,bus stop,travel stop,
64,-89.3833,43.07777,bus stop,travel stop,
64,-89.3852,43.0755,bus stop,travel stop,
64,-89.3852,43.07549,bus stop,travel stop,
80,-89.4755,43.05386,bus stop,travel stop,
90,-89.3585,43.11291,bus stop,travel stop,
90,-89.3953,43.04051,bus stop,travel stop,
117,-89.4764,43.05353,bus stop,travel stop,
118,-89.4764,43.05353,bus stop,travel stop,
118,-89.3585,43.11291,bus stop,travel stop,
119,-87.9197,43.09965,bus stop,travel stop,
119,-87.9197,43.09965,bus stop,travel stop,
119,-87.9197,43.09965,bus stop,travel stop,
119,-87.9197,43.09965,bus stop,travel stop,
119,-82.3707,32.10825,bus stop,travel stop,
119,-95.0477,36.46397,bus stop,travel stop,
218,-89.3863,43.07346,bus stop,travel stop,
218,-89.3871,43.07257,bus stop,travel stop,
32,-89.3223,43.09863,bus transfer point,travel stop,
171,-89.3223,43.09863,bus transfer point,travel stop,
32,-89.382,43.07488,frequent bus stop,travel stop,
39,-89.4019,43.06604,meeting to get ride home,travel stop,
204,-89.3585,43.11291,n transfer point,travel stop,
21,-89.3051,43.04752,park & ride,travel stop,
76,-89.4016,43.06713,parking,travel stop,
230,-87.9874,42.94413,parking lot to pick up car,travel stop,
214,-89.4122,43.07213,parking ramp,travel stop,
214,-89.3981,43.07254,parking ramp,travel stop,
224,-89.3966,43.07232,parking ramp,travel stop,
234,-87.9198,43.03783,parking ramp,travel stop,
86,-87.6317,41.87451,train station,travel stop,
86,-87.6686,41.70649,train stop,travel stop,
119,-89.5027,43.05868,transfer point,travel stop,
119,-89.3223,43.09863,transfer point,travel stop,
156,-89.3585,43.11291,transfer point,travel stop,
139,-89.3941,43.03935,transfer point (bus),travel stop,
119,-89.4764,43.05353,west transfer point,travel stop,
204,-89.4755,43.05386,west transfer point,travel stop,
204,-89.4764,43.05353,west transfer point,travel stop,
179,-89.5081,42.97291,work,work,
98,-89.5045,44.52631,work conference,,
131,-88.0378,43.0327,work meeting,,
6,-77.0472,38.89928,@ conference,,
