subid,long,lat,description,final,notes
259,-89.3805,43.07125,event center,,
40,-89.3805,43.04423,expo,,
31,-89.4574,43.18301,family fun night,,
110,-89.3824,43.07373,farmer’s market,park,
139,-89.3841,43.07497,farmer’s market,park,
187,-89.4214,43.05984,farmers market,park,
167,-89.3997,43.06201,fishing,,
90,-89.3758,43.07505,fishing spot,,
90,-89.3307,43.02913,fishing spot,,
231,-89.3993,43.07459,food carts,,
139,-89.3533,43.12845,food pantry,,
99,-89.7197,43.27874,funeral home,,
179,-89.122,44.35425,funeral home,,
265,-91.4384,44.79672,funeral home,,
189,-89.3659,43.08555,gallery,community space / recreation,
231,-70.7576,43.07853,gallery,community space / recreation,
58,-89.4401,43.04161,golf club -> swim meet,errands,
31,-81.6288,26.01047,golf course,,
56,-87.9133,42.85696,golf course,,
130,-89.3258,43.06898,golf course,,
130,-89.231,43.08274,golf course,,
130,-89.2578,43.04311,golf course,,
130,-89.4739,43.04537,golf course,,
130,-89.3456,43.11148,golf course,,
130,-89.2624,43.04246,golf course,,
130,-89.9149,43.00964,golf course,,
85,-89.3824,42.9414,graveyard,,
59,-89.378,43.07861,hobby,,
29,-89.2454,43.11317,horse stable,,
29,-89.2454,43.11317,horse stable,,
20,-91.2853,44.54612,hunting,,
20,-91.2846,44.54429,hunting,,
20,-91.2803,44.54441,hunting,,
23,-91.8376,44.82346,hunting,,
130,-89.287,43.02916,ice rink,,
130,-89.4866,43.04846,ice rink,,
7,-89.3936,43.04847,improv practice space workshops,community space / recreation,
66,-89.361,43.11344,job center,,
150,-89.361,43.11344,job center,,
204,-89.361,43.11344,job center,,
32,-89.361,43.11344,job center + other services,,
58,-80.7566,32.18522,kayak,park,
92,-88.7826,44.19063,lake / river / boating,park,
79,-89.5012,43.0543,laser tag,,
7,-89.4503,43.05387,library,library,
11,-89.3873,43.07346,library,library,
11,-89.4013,43.07676,library,library,
11,-89.3993,43.07459,library,library,
19,-88.4577,44.185,library,library,
27,-89.0175,43.00288,library,library,
30,-89.3462,43.10159,library,library,
32,-89.3873,43.07346,library,library,
32,-89.3945,43.0415,library,library,
39,-89.3873,43.07346,library,library,
47,-89.4152,43.06593,library,library,
47,-89.3873,43.07346,library,library,
48,-89.3462,43.10159,library,library,
52,-89.363,43.12769,library,library,
52,-89.3462,43.10159,library,library,
54,-89.5338,42.85824,library,library,
58,-89.5093,43.09498,library,library,
74,-89.342,43.24702,library,library,
76,-89.2881,43.01356,library,library,
76,-89.3993,43.07459,library,library,
77,-89.324,43.08448,library,library,
82,-89.3873,43.07346,library,library,
84,-89.363,43.12769,library,library,
85,-89.3815,42.92597,library,library,
97,-89.4628,43.53848,library,library,
103,-89.2182,42.91649,library,library,
104,-89.3462,43.10159,library,library,
117,-87.2788,45.05147,library,library,
121,-89.3873,43.07346,library,library,
121,-89.3462,43.10159,library,library,
136,-89.5289,42.99615,library,library,
138,-89.4134,43.07611,library,library,
139,-89.3873,43.07346,library,library,
139,-89.3945,43.0415,library,library,
156,-89.3945,43.0415,library,library,
158,-89.3873,43.07346,library,library,
161,-89.019,42.67913,library,library,
166,-89.0757,43.05451,library,library,
171,-89.3228,43.08331,library,library,
172,-89.3462,43.10159,library,library,
178,-89.3462,43.10159,library,library,
181,-89.3873,43.07346,library,library,
187,-89.3622,43.12767,library,library,
196,-89.3873,43.07346,library,library,
196,-89.3462,43.10159,library,library,
203,-89.363,43.12769,library,library,
207,-89.4013,43.07676,library,library,
222,-89.2182,42.91649,library,library,
222,-89.4791,43.03246,library,library,
225,-89.2356,43.17565,library,library,
225,-89.2182,42.91649,library,library,
225,-89.2881,43.01356,library,library,
234,-89.3945,43.0415,library,library,
240,-89.3993,43.07459,library,library,
252,-89.3945,43.0415,library,library,
138,-77.0047,38.89051,library mall,,
2,-89.3526,43.11112,little league field,park,
58,-89.5043,43.09722,mom’s group - blackhawk church,church,
1,-89.3421,43.06379,monona library,library,
109,-89.5195,43.05795,movie theater,,
269,-89.4665,43.01423,movie theater,,
6,-89.2711,43.16903,movie theatre,,
18,-89.5195,43.05795,movie theatre,,
37,-89.5195,43.05795,movie theatre,,
37,-88.5811,44.01575,movie theatre,,
172,-89.453,43.07184,movie theatre,,
204,-89.5195,43.05795,movie theatre,,
231,-89.2727,43.16984,movie theatre,,
42,-89.2727,43.16984,movies,,
44,-89.5195,43.05795,movies,,
74,-89.2727,43.16984,movies,,
136,-89.5195,43.05795,movies,,
172,-89.4936,43.05624,movies,,
179,-89.4665,43.01423,movies,,
183,-84.6474,38.99332,movies,,
189,-89.4665,43.01423,movies,,
191,-89.4665,43.01423,movies,,
207,-89.453,43.07334,movies,,
208,-89.2727,43.16984,movies,,
234,-89.5195,43.05795,movies,,
40,-88.0544,44.4818,museum,,
234,-87.9212,43.04066,museum,,
248,-93.0988,44.94249,museum,,
262,-77.026,38.8917,museum,,
262,-77.0199,38.88816,museum,,
116,-89.7224,43.27023,on the river,,
33,-89.2173,42.91654,opera house,,
48,-89.3731,43.08338,outdoor event,,
252,-89.3883,43.07459,overture,,
18,-89.3883,43.07459,overture center,,
40,-89.3883,43.07459,overture center,,
64,-89.4004,43.06344,pantry,,
64,-89.3941,43.04498,pantry,,
64,-89.3858,43.07698,pantry,,
224,-89.0754,43.05382,pistol range,,
175,-89.4555,43.03315,plasma donation,,
263,-89.3902,43.07536,plasma donation,,
92,-89.4555,43.03315,plasma donation center,,
252,-89.4432,43.061,police station,,
214,-89.5322,43.04719,pond - walking path,,
56,-89.3786,43.05115,pool,,
163,-89.3822,42.92733,pool,,
163,-82.711,27.71529,pool,,
224,-89.4414,43.07646,pool,,
81,-90.1049,41.9697,prison (boyfriend visit),,
259,-90.1984,43.19132,pumpkin patch,,
166,-91.1028,43.90199,race,,
252,-89.0754,43.05382,range,,
212,-90.3715,43.33322,roller rink,,
214,-89.5552,43.01328,scout meetings at a church does not attend service,,
51,-89.3646,43.09959,shelter,,
211,-89.3731,43.08338,sports,,
77,-89.3641,43.12246,st. paul’s pantry,,
10,-89.3841,43.07497,state capitol lawn / farmer’s market,park,
262,-89.4102,43.07184,student org club,,
23,-89.4061,43.07256,study,,
166,-81.2254,27.93665,swamp tours,,
58,-89.545,43.03399,swim club,,
77,-89.3533,43.12845,the river pantry,,
16,-89.3809,43.07438,theater,,
16,-89.3887,43.07495,theater,,
16,-89.453,43.07184,theater,,
33,-88.8484,42.91418,theater,,
48,-89.2727,43.16984,theater,,
15,-89.2755,43.16683,theatre,,
193,-89.3651,43.0825,theatre,,
11,-89.3881,43.07286,tour,,
11,-89.3822,43.07564,tour,,
11,-89.381,43.07424,tour,,
11,-89.3747,43.07571,tour,,
11,-89.381,43.0751,tour,,
11,-89.4826,43.06188,tour,,
81,-89.4312,42.71199,trail to walk dogs,,
44,-89.4079,43.07187,union south,community space / recreation,
149,-89.4079,43.07187,union south,community space / recreation,
172,-89.4079,43.07187,union south,community space / recreation,
6,-89.4079,43.07187,union south - uw campus,community space / recreation,
44,-109.617,38.61693,visitor center,,
38,-88.3586,44.21018,volleyball,,
80,-87.6264,41.88746,walking,,
175,-87.9126,43.03701,walking dog,,
98,-89.7869,43.1688,walking path,,
225,-89.2288,43.17601,water park,,
40,-87.7066,43.74623,water park & resort,,
56,-89.7897,43.61374,waterpark,,
44,-89.4,43.07626,wheelhouse crafting,,
270,-88.5357,42.54898,yacht club,,
224,-89.4108,43.05807,zoo,community space / recreation,
255,-89.41,43.06061,zoo,community space / recreation,
30,-89.3476,43.09379,art store,,
264,-89.4069,43.03301,attorney’s office,,
77,-89.3075,43.08466,auto mechanic / gas station,errands,
192,-89.5451,43.09736,auto repair,errands,
238,-89.0298,43.34449,auto shop,errands,
269,-89.3944,43.04282,auto shop (husbands work),errands,
77,-89.3066,43.0838,bank,errands,
79,-89.3213,43.0475,bank,errands,
189,-89.3154,43.1076,bank,errands,
189,-89.3845,43.07637,bank,errands,
200,-89.323,43.084,bank,errands,
183,-89.299,43.12941,best buy,errands,
54,-89.7097,45.871,bookshop,,
1,-89.319,43.09681,bought groceries,errands,
119,-89.3459,43.10164,boutique,,
181,-89.363,43.08447,boutique,,
231,-89.3921,43.07469,boutique,,
243,-89.453,43.07334,boutique,,
175,-89.4614,43.07448,boyfriend work,errands,
48,-89.3838,43.07299,brother’s office,errands,
240,-89.3863,43.0744,camera store,,
189,-89.3557,43.12497,cap auto clinic,errands,
238,-89.5111,43.10772,car lot,errands,
187,-89.3643,43.11166,car mechanic,errands,
189,-89.3643,43.11166,car repair,errands,
31,-89.5529,43.19065,car shop,errands,
167,-89.3991,43.05838,carwash,errands,
52,-89.3196,43.12079,cell phone,errands,
