Column 01,Column 02,Column 03,Column 04,Column 05,Column 06,Column 07
subid,long,lat,description,Proposed label,Notes by Hannah,final
64,-89.3947,43.03894,bus stop,travel stop,,travel stop
64,-89.3833,43.07777,bus stop,travel stop,,travel stop
64,-89.3852,43.0755,bus stop,travel stop,,travel stop
64,-89.3852,43.07549,bus stop,travel stop,,travel stop
80,-89.4755,43.05386,bus stop,travel stop,,travel stop
90,-89.3585,43.11291,bus stop,travel stop,,travel stop
90,-89.3953,43.04051,bus stop,travel stop,,travel stop
117,-89.4764,43.05353,bus stop,travel stop,,travel stop
118,-89.4764,43.05353,bus stop,travel stop,,travel stop
118,-89.3585,43.11291,bus stop,travel stop,,travel stop
119,-87.9197,43.09965,bus stop,travel stop,,travel stop
119,-87.9197,43.09965,bus stop,travel stop,,travel stop
119,-87.9197,43.09965,bus stop,travel stop,,travel stop
119,-87.9197,43.09965,bus stop,travel stop,,travel stop
119,-82.3707,32.10825,bus stop,travel stop,,travel stop
119,-95.0477,36.46397,bus stop,travel stop,,travel stop
218,-89.3863,43.07346,bus stop,travel stop,,travel stop
218,-89.3871,43.07257,bus stop,travel stop,,travel stop
32,-89.3223,43.09863,bus transfer point,travel stop,,travel stop
171,-89.3223,43.09863,bus transfer point,travel stop,,travel stop
23,-91.9078,44.26565,cabin,,temporary residence,temporary residence
54,-89.5227,45.94317,cabin,,temporary residence,temporary residence
240,-89.3125,45.80946,cabin,,temporary residence,temporary residence
240,-89.3863,43.0744,camera store,errands,,errands
79,-89.4109,43.07001,camp randall,,public drinking space,public drinking space
44,-109.634,38.70135,camping,temporary residence,,temporary residence
76,-87.7955,43.49866,camping,temporary residence,,temporary residence
252,-89.0297,42.9804,camping,temporary residence,,temporary residence
259,-89.0982,44.29031,camping,temporary residence,,temporary residence
42,-89.752,43.20644,campsite,temporary residence,,temporary residence
48,-89.273,43.46513,campsite,temporary residence,,temporary residence
189,-89.3557,43.12497,cap auto clinic,recovery and health,,errands
238,-89.5111,43.10772,car lot,,errands,errands
187,-89.3643,43.11166,car mechanic,public community spaces,errands,errands
189,-89.3643,43.11166,car repair,public community spaces,errands,errands
31,-89.5529,43.19065,car shop,public community spaces,errands,errands
64,-89.3839,43.07637,career homeless shelter,public community spaces,community space / recreation,community space / recreation
167,-89.3991,43.05838,carwash,public community spaces,errands,errands
139,-89.3664,43.12528,case worker,,recovery and health,recovery and health
20,-89.7752,43.52857,casino,public drinking spaces,,public drinking spaces
109,-89.2721,43.03945,casino,public drinking spaces,,public drinking spaces
183,-87.9349,43.03021,casino,public drinking spaces,,public drinking spaces
190,-89.2721,43.03945,casino,public drinking spaces,,public drinking spaces
191,-89.2721,43.03945,casino,public drinking spaces,,public drinking spaces
52,-89.3196,43.12079,cell phone,,errands,errands
190,-89.3933,43.04134,cell store,errands,,errands
48,-89.3546,43.09325,ceramic studio,public community spaces,community space / recreation,community space / recreation
64,-89.3937,43.04514,check cashing,public community spaces,errands,errands
6,-89.4047,43.07259,chemistry daniels building,,community space / recreation,community space / recreation
58,-89.533,42.98371,child’s music class,public community spaces,community space / recreation,errands
58,-117.693,33.96499,child’s school,public community spaces,community space / recreation,errands
58,-89.5459,43.0431,child’s school,public community spaces,community space / recreation,errands
33,-89.2394,42.91386,child’s school (son),public community spaces,community space / recreation,errands
169,-89.4673,43.03269,childcare,public community spaces,community space / recreation,errands
252,-89.496,43.02444,childcare,public community spaces,community space / recreation,errands
252,-89.3737,43.07707,childcare,public community spaces,community space / recreation,errands
222,-89.2357,42.91866,childhood home -> family does not live there now just visiting,others' home,,others' home
25,-89.2973,43.0728,church,public community spaces,community space / recreation,community space / recreation
30,-89.3574,43.09829,church,public community spaces,community space / recreation,community space / recreation
31,-89.4546,43.18945,church,public community spaces,community space / recreation,community space / recreation
33,-89.2372,42.93879,church,public community spaces,community space / recreation,community space / recreation
47,-89.3892,43.07551,church,public community spaces,community space / recreation,community space / recreation
51,-89.3774,43.13696,church,public community spaces,community space / recreation,community space / recreation
52,-89.3124,43.12219,church,public community spaces,community space / recreation,community space / recreation
52,-89.3641,43.12246,church,public community spaces,community space / recreation,community space / recreation
52,-89.312,43.12272,church,public community spaces,community space / recreation,community space / recreation
66,-89.2727,43.09187,church,public community spaces,community space / recreation,community space / recreation
81,-89.4327,42.70449,church,public community spaces,community space / recreation,community space / recreation
85,-89.4703,43.03451,church,public community spaces,community space / recreation,community space / recreation
85,-89.3843,42.93583,church,public community spaces,community space / recreation,community space / recreation
85,-89.3983,43.07478,church,public community spaces,community space / recreation,community space / recreation
