subid,type,n_home_locations,n_work_locations,n_home_zone,n_work_zones,time_at_all_homes,time_at_all_workplaces,more_than_two_work,distant_work,eliminate_observations_temporal,combine_workplaces,n_school_locations,home_workplace,missing_location,notes
204,,1,1,1,1,,,,,,,,,,
205,,1,4,1,4,,,,,,,,,,
207,,1,0,0,0,,,,,,,,,,
208,,1,4,1,3,,,,,,,,,,
209,,1,0,1,0,,,,,,,,,,
211,,1,1,1,1,,,,,,,,,,
212,,1,0,1,0,,,,,,,,,,
213,,1,0,1,0,,,,,,,,,,
214,,1,7,1,4,,,,,,,,,,
215,,1,0,1,0,,,,,,,,,,
218,,1,1,1,1,,,,,,,,,,
221,,1,3,0,0,,,,,,,,,,
222,,2,2,1,1,,,,,,,,,,
223,,1,3,1,1,,,,,,,,,,
224,,1,1,1,1,,,,,,,,,,
225,,1,2,1,1,,,,,,,,,,
230,,1,1,1,1,,,,,,,,,,
231,,1,3,1,1,,,,,,,,,,
232,,1,1,0,1,,,,,,,,,,
234,,1,2,1,1,,,,,,,,,,
236,,1,1,1,1,,,,,,,,,,
237,,1,0,1,0,,,,,,,,,,
238,,1,0,1,0,,,,,,,,,,
240,,2,16,2,5,,,,,,,,,,
241,,1,12,1,11,,,,,,,,,,
242,,1,1,1,1,,,,,,,,,,
243,,1,3,1,0,,,,,,,,,,
245,,1,1,1,1,,,,,,,,,,
248,,1,1,1,1,,,,,,,,,,
252,,1,3,1,3,,,,,,,,,,
255,,1,3,1,3,,,,,,,,,,
259,,2,7,2,4,,,,,,,,,,
262,,1,2,1,1,,,,,,,,,,
263,,1,3,1,3,,,,,,,,,,
264,,1,0,0,0,,,,,,,,,,
265,,1,0,1,0,,,,,,,,,,
267,,1,2,1,2,,,,,,,,,,
268,,1,0,1,0,,,,,,,,,,
269,,1,1,1,1,,,,,,,,,,
270,,2,0,1,0,,,,,,,,,,
