subid,context_id,lat,long,description_inference,description,type_imputed,type
61,1515,43.053875,-89.4502948,,library,library,library
61,1517,42.9259688,-89.3814838,,library,library,library
267,5320,43.073349,-89.3874442,,library,library,other
166,3201,43.0578308,-89.0692086,,lionâ€™s meeting,NA,other
23,507,42.9295634,-89.7003657,,looking at real estate,NA,other
84,1905,43.0762598,-89.4000038,,memorial union,NA,other
116,2490,43.0762598,-89.4000038,,memorial union terrace,public drinking space,other
177,3498,43.0487156,-89.4807767,,mental health center,healthcare,other
166,3242,44.9745011,-89.6144964,,nursing home,NA,other
269,5382,43.3351671,-90.4012156,,nursing home,NA,other
179,3543,43.0743446,-89.447131,,office,NA,other
64,1568,43.0634421,-89.4003659,,pantry,NA,other
64,1578,43.044985,-89.3941428,,pantry,NA,other
64,1580,43.0769837,-89.3858309,,pantry,NA,other
131,2730,43.1139405,-89.3629254,,pet store,NA,other
50,1253,43.0974862,-89.4954102,,pharmacy (walgreens),healthcare,healthcare
34,879,43.0735773,-89.3954455,,piercing lounge,NA,other
175,3465,43.0331514,-89.4555305,,plasma donation,NA,other
263,5275,43.0753621,-89.3901717,,plasma donation,NA,other
92,2098,43.0331514,-89.4555305,,plasma donation center,NA,other
183,3697,43.0734262,-89.3950242,,police ride along,NA,other
252,5131,43.0609982,-89.4432004,,police station,NA,other
81,1855,41.9696979,-90.1048676,,prison (boyfriend visit),NA,other
54,1375,43.0269011,-87.972274,yes - based on map and alcohol report,public drinking space,public drinking space,public drinking space
54,1376,43.0279769,-87.9711513,yes - based on map and alcohol report,public drinking space,public drinking space,public drinking space
54,1377,43.0313996,-87.9680673,yes - based on map and alcohol report,public drinking space,public drinking space,public drinking space
56,1400,43.08455,-89.3618887,yes - based on map and alcohol report,public drinking space,public drinking space,public drinking space
56,1411,43.0756318,-89.3773814,yes - based on map and alcohol report,public drinking space,public drinking space,public drinking space
63,1541,42.906534,-89.3246379,yes - based on map and alcohol report,public drinking space,public drinking space,public drinking space
61,1512,42.9273313,-89.382183,,public pool where I take kids,community space / recreation,community space / recreation
166,3245,43.9019862,-91.1028375,,race,NA,other
11,223,43.054237,-89.483545,,research study,NA,other
214,4361,43.013277,-89.5551997,,scout meetings at a church does not attend service,NA,other
51,1270,43.0995937,-89.3645741,,shelter,NA,other
77,1729,43.1224571,-89.3641263,,st. paulâ€™s pantry,NA,other
23,477,43.0725623,-89.4061045,,study,NA,other
169,3398,44.7792369,-91.4299547,yes - based on map and alcohol report,temporary residence,temporary residence,other
77,1730,43.1284517,-89.353312,,the river pantry,NA,other
11,196,43.0728649,-89.388095,,tour,NA,other
11,202,43.0756353,-89.3822414,,tour,NA,other
11,203,43.0742365,-89.3810119,,tour,NA,other
11,204,43.075714,-89.374691,,tour,NA,other
11,205,43.075104,-89.3810381,,tour,NA,other
11,217,43.0618783,-89.4826352,,tour,NA,other
28,627,46.8289815,-89.5775749,,vacation,NA,other
43,1139,30.130618,-97.884171,,vacation,NA,other
58,1474,32.1976444,-80.6947792,,vacation,NA,other
58,1475,32.1974753,-80.6948423,,vacation,NA,other
163,3176,27.7850875,-82.7817959,,vacation,NA,other
24,533,43.1412354,-89.2896403,,veterinarian,NA,other
177,3490,43.1181315,-89.3239695,,walgreens,healthcare,other
44,1160,43.0762598,-89.4000038,,wheelhouse crafting,NA,other
98,2221,44.5263114,-89.5044827,,work conference,NA,other
131,2743,43.032701,-88.0377606,,work meeting,NA,other
267,5321,43.0606104,-89.410035,,zoo,community space / recreation,other
