subid,context_id,long,lat,description,final
66,1622,-89.2966,43.10583,laundromat,errands
66,1637,-89.2541,43.1652,sonâ€™s school,errands
66,1626,-89.2284,43.18181,nail spa,errands
76,1702,-89.4019,43.06604,wifeâ€™s work,errands
76,1692,-89.368,42.91616,pet vet,errands
76,1696,-89.2995,43.01324,laundromat,errands
77,1724,-89.3075,43.08466,auto mechanic / gas station,errands
77,1725,-89.3066,43.0838,bank,errands
78,1759,-89.8063,43.58857,gas station,errands
78,1760,-89.7973,43.58886,gas station,errands
78,1769,-89.7672,43.46041,gas station,errands
79,1802,-89.3213,43.0475,bank,errands
80,1826,-89.5127,43.05998,nail,errands
81,1870,-89.635,42.8162,friendâ€™s thrift store,errands
81,1864,-89.4377,42.70758,nail salon,errands
81,1871,-89.4377,42.70757,salon,errands
81,1877,-89.3753,42.60603,hair salon,errands
82,1896,-89.3061,43.12438,mall,errands
84,1909,-89.3631,43.12858,goodwill,errands
85,1949,-89.3848,42.92577,gift shop,errands
88,2027,-89.7347,43.29357,gas station,errands
94,2163,-89.0372,42.5137,kids school,errands
97,2192,-89.4814,43.54908,thrift store / food pantry,errands
97,2182,-89.4783,43.55868,rent payment,errands
97,2177,-89.4706,43.57034,hair cuts,errands
99,2247,-89.4521,43.11552,wifeâ€™s work,errands
103,2313,-89.2703,43.16808,salon,errands
109,2390,-89.511,43.06128,nail salon,errands
110,2487,-89.4229,43.05711,wifeâ€™s work,errands
110,2418,-89.4055,43.03095,daycare,errands
110,2416,-89.3984,43.0407,wifeâ€™s work,errands
119,2607,-90.6472,42.986,kids sports game,errands
119,2596,-89.3459,43.10164,boutique,errands
130,2680,-89.3553,43.09249,salon,errands
131,2742,-89.5012,43.0543,pet store,errands
131,2748,-89.4168,43.06488,hair,errands
131,2732,-89.3049,43.12677,mall,errands
136,2845,-89.3935,43.04593,services,errands
136,2844,-89.3667,43.08226,services,errands
149,2989,-89.5203,43.0617,son guitar lessons,errands
158,3067,-89.2986,43.12904,furniture,errands
