subid,context_id,long,lat,description,final
86,1980,-87.6317,41.87451,train station,travel stop
90,2059,-89.3953,43.04051,bus stop,travel stop
90,2054,-89.3585,43.11291,bus stop,travel stop
117,2517,-89.4764,43.05353,bus stop,travel stop
118,2552,-89.4764,43.05353,bus stop,travel stop
118,2556,-89.3941,43.03935,bus station,travel stop
118,2557,-89.3585,43.11291,bus stop,travel stop
119,2580,-95.0477,36.46397,bus stop,travel stop
119,2593,-89.5027,43.05868,transfer point,travel stop
119,2592,-89.4764,43.05353,west transfer point,travel stop
119,2594,-89.3223,43.09863,transfer point,travel stop
119,2569,-87.9197,43.09965,bus stop,travel stop
119,2570,-87.9197,43.09965,bus stop,travel stop
119,2571,-82.3707,32.10825,bus stop,travel stop
138,2899,-89.3941,43.03935,transfer point (bus),travel stop
156,3031,-89.3585,43.11291,transfer point,travel stop
169,3414,-89.3223,43.09863,bus transfer point,travel stop
204,4171,-89.4764,43.05353,west transfer point,travel stop
204,4170,-89.4755,43.05386,west transfer point,travel stop
204,4178,-89.3585,43.11291,n transfer point,travel stop
214,4374,-89.4122,43.07213,parking ramp,travel stop
214,4377,-89.3981,43.07254,parking ramp,travel stop
218,4446,-89.3871,43.07257,bus stop,travel stop
218,4440,-89.3863,43.07346,bus stop,travel stop
224,4598,-89.3966,43.07232,parking ramp,travel stop
225,4738,-87.9874,42.94413,parking lot to pick up car,travel stop
234,4826,-87.9198,43.03783,parking ramp,travel stop
179,3561,-89.5081,42.97291,work,work
1,8,-89.3074,43.11461,alter recycling center,
6,104,-89.4047,43.07259,chemistry daniels building,
6,106,-89.2711,43.16903,movie theatre,community space / recreation
6,112,-77.0472,38.89928,@ conference,
11,223,-89.4836,43.05424,research study,
11,217,-89.4826,43.06188,tour,
11,196,-89.3881,43.07286,tour,
11,202,-89.3822,43.07564,tour,
11,203,-89.381,43.07424,tour,
11,205,-89.381,43.0751,tour,
11,204,-89.3747,43.07571,tour,
15,275,-89.4239,43.00237,city hall,
15,283,-89.2755,43.16683,theatre,community space / recreation
16,320,-117.163,32.70682,convention center,
16,304,-89.453,43.07184,theater,community space / recreation
16,293,-89.3887,43.07495,theater,community space / recreation
16,292,-89.3809,43.07438,theater,community space / recreation
18,358,-89.5195,43.05795,movie theatre,community space / recreation
18,357,-89.3883,43.07459,overture center,community space / recreation
20,420,-91.2853,44.54612,hunting,
20,421,-91.2846,44.54429,hunting,
20,422,-91.2803,44.54441,hunting,
23,508,-91.8376,44.82346,hunting,
23,507,-89.7004,42.92956,looking at real estate,
23,477,-89.4061,43.07256,study,
27,593,-89.019,42.96968,barn,
28,627,-89.5776,46.82898,vacation,
29,695,-89.4573,43.53893,columbia co. courthouse,
29,648,-89.2454,43.11317,horse stable,community space / recreation
29,674,-89.2454,43.11317,horse stable,community space / recreation
30,703,-89.3476,43.09379,art store,
31,757,-89.4574,43.18301,family fun night,
31,752,-81.6288,26.01047,golf course,community space / recreation
32,804,-89.381,43.07482,county bldg.,
32,795,-89.3809,43.07749,daytime support,
32,797,-89.3809,43.07749,daytime support,
32,790,-89.361,43.11344,job center + other services,
33,848,-89.2172,42.91654,opera house,community space / recreation
33,832,-88.8484,42.91418,theater,community space / recreation
34,865,-89.4079,43.07187,drumming practice,
34,867,-89.4058,43.07444,drumming practice,
34,866,-89.4,43.07626,drumming practice,
34,879,-89.3954,43.07358,piercing lounge,
34,878,-87.9172,43.03976,convention,
37,909,-89.5195,43.05795,movie theatre,community space / recreation
37,918,-88.841,43.84322,college,
37,913,-88.5811,44.01575,movie theatre,community space / recreation
38,941,-88.3586,44.21018,volleyball,community space / recreation
39,972,-89.384,43.07117,courthouse,
40,1045,-89.4584,43.01161,icombat,
40,1046,-89.3883,43.07459,overture center,community space / recreation
40,1051,-89.3805,43.04423,expo,
40,1053,-88.0544,44.4818,museum,community space / recreation
40,1057,-87.7066,43.74623,water park & resort,community space / recreation
42,1092,-89.2727,43.16984,movies,community space / recreation
43,1139,-97.8842,30.13062,vacation,
43,1122,-89.1231,43.22872,helping a friend,friend
44,1171,-109.617,38.61693,visitor center,community space / recreation
44,1172,-89.5195,43.05795,movies,community space / recreation
44,1160,-89.4,43.07626,wheelhouse crafting,
48,1242,-89.3731,43.08338,outdoor event,community space / recreation
48,1241,-89.2988,43.10745,mother of girlfriend,friend
48,1213,-89.2727,43.16984,theater,community space / recreation
51,1270,-89.3646,43.09959,shelter,
52,1323,-89.3805,43.07125,â€œshake the lakeâ€ fireworks,community space / recreation
54,1381,-89.4917,45.91437,flea market,community space / recreation
56,1405,-89.7897,43.61374,waterpark,community space / recreation
56,1423,-89.3786,43.05115,pool,community space / recreation
56,1418,-87.9133,42.85696,golf course,community space / recreation
58,1462,-89.545,43.03399,swim club,community space / recreation
58,1465,-83.0322,40.23996,country club,community space / recreation
58,1474,-80.6948,32.19764,vacation,
58,1475,-80.6948,32.19748,vacation,
59,1485,-89.378,43.07861,hobby,community space / recreation
64,1568,-89.4004,43.06344,pantry,
64,1578,-89.3941,43.04498,pantry,
64,1580,-89.3858,43.07698,pantry,
64,1562,-89.3839,43.07637,career homeless shelter,
66,1623,-89.361,43.11344,job center,
74,1662,-89.2727,43.16984,movies,community space / recreation
77,1729,-89.3641,43.12246,st. paulâ€™s pantry,
77,1730,-89.3533,43.12845,the river pantry,
77,1741,-89.3012,43.13618,hotel - visiting a friend,friend
79,1796,-89.5139,43.09546,courthouse,
79,1784,-89.5012,43.0543,laser tag,community space / recreation
79,1787,-89.4631,43.53967,burial site,
80,1812,-89.3966,43.03851,client,
80,1845,-87.6264,41.88746,walking,community space / recreation
80,1839,-87.6172,41.79942,film colleague,
81,1855,-90.1049,41.9697,prison (boyfriend visit),
81,1848,-89.4312,42.71199,trail to walk dogs,community space / recreation
85,1953,-89.3824,42.9414,graveyard,
90,2079,-89.3758,43.07505,fishing spot,community space / recreation
90,2080,-89.3307,43.02913,fishing spot,community space / recreation
92,2098,-89.4555,43.03315,plasma donation center,
98,2222,-89.7869,43.1688,walking path,community space / recreation
98,2221,-89.5045,44.52631,work conference,
99,2246,-89.7197,43.27874,funeral home,
109,2389,-89.5195,43.05795,movie theater,community space / recreation
116,2504,-89.7224,43.27023,on the river,community space / recreation
117,2515,-87.6028,41.79194,conference,
119,2603,-89.3891,43.07378,court,
119,2606,-89.0229,42.69028,conference,
128,2664,-83.3261,42.65566,courthouse,
130,2696,-89.9149,43.00964,golf course,community space / recreation
130,2675,-89.4739,43.04537,golf course,community space / recreation
130,2677,-89.3456,43.11148,golf course,community space / recreation
130,2672,-89.3258,43.06898,golf course,community space / recreation
130,2695,-89.2624,43.04246,golf course,community space / recreation
130,2674,-89.2578,43.04311,golf course,community space / recreation
130,2673,-89.231,43.08274,golf course,community space / recreation
131,2743,-88.0378,43.0327,work meeting,
136,2827,-89.5195,43.05795,movies,community space / recreation
138,2865,-77.0047,38.89051,library mall,community space / recreation
139,2895,-89.3533,43.12845,food pantry,
149,2994,-89.361,43.11344,job center,
156,3026,-89.3779,43.07869,daytime assistance,
156,3068,-89.384,43.07117,courthouse,
163,3169,-89.3822,42.92733,pool,community space / recreation
163,3176,-82.7818,27.78509,vacation,
163,3174,-82.711,27.71529,pool,community space / recreation
163,3245,-91.1028,43.90199,race,
166,3234,-89.7797,43.66168,conference,
166,3242,-89.6145,44.9745,nursing home,
166,3201,-89.0692,43.05783,lionâ€™s meeting,
166,3218,-82.1491,28.01669,agriculture center,community space / recreation
166,3220,-81.2254,27.93665,swamp tours,community space / recreation
166,3312,-89.3997,43.06201,fishing,community space / recreation
167,3366,-89.3646,43.04299,house hunting,
169,3365,-89.2925,43.08524,house hunting,
169,3355,-89.231,43.19307,house hunting,
169,3353,-89.2306,43.19274,house hunting,
171,3444,-89.4936,43.05624,movies,community space / recreation
171,3441,-89.453,43.07184,movie theatre,community space / recreation
175,3465,-89.4555,43.03315,plasma donation,
175,3487,-87.9125,43.03701,walking dog,community space / recreation
179,3564,-89.4665,43.01423,movies,community space / recreation
179,3543,-89.4471,43.07434,office,
179,3562,-89.1219,44.35425,funeral home,
181,3697,-89.395,43.07343,police ride along,
183,3681,-89.2388,42.91781,autograph,
183,3688,-84.6474,38.99332,movies,community space / recreation
188,3824,-89.4665,43.01423,movies,community space / recreation
189,3846,-89.4,43.07626,election work,
191,3875,-89.4665,43.01423,movies,community space / recreation
192,3986,-89.3651,43.0825,theatre,community space / recreation
201,4131,-89.3005,43.12653,blood donation,
203,4167,-89.5195,43.05795,movie theatre,community space / recreation
204,4177,-89.361,43.11344,job center,
205,4225,-89.453,43.07334,movies,community space / recreation
207,4253,-89.2727,43.16984,movies,community space / recreation
209,4308,-89.3731,43.08338,sports,community space / recreation
211,4323,-90.3715,43.33322,roller rink,community space / recreation
212,4327,-89.3819,43.07374,lawyer,
213,4361,-89.5552,43.01328,scout meetings at a church does not attend service,
214,4372,-89.5322,43.04719,pond - walking path,community space / recreation
215,4408,-89.3852,43.07613,lawyer,
215,4407,-88.8372,43.45437,lawyer,
222,4524,-89.361,43.11344,dvr,
223,4560,-89.384,43.07117,court,
223,4547,-88.2292,43.02265,court,
224,4611,-89.4414,43.07646,pool,community space / recreation
224,4569,-89.0754,43.05382,pistol range,community space / recreation
224,4708,-93.4565,44.80017,amusement park,community space / recreation
225,4681,-89.2459,43.17288,apartment office,
225,4707,-89.2288,43.17601,water park,community space / recreation
225,4775,-89.3993,43.07459,food carts,community space / recreation
231,4765,-89.2727,43.16984,movie theatre,community space / recreation
231,4798,-89.3824,43.0723,court,
232,4811,-89.5195,43.05795,movies,community space / recreation
234,4830,-87.9211,43.04066,museum,community space / recreation
238,4905,-89.4546,43.07932,country club,community space / recreation
240,4925,-88.5787,43.98251,eaa,
245,5081,-93.0988,44.94249,museum,community space / recreation
252,5131,-89.4432,43.061,police station,
252,5126,-89.3883,43.07459,overture,community space / recreation
252,5132,-89.0754,43.05382,range,community space / recreation
255,5207,-90.1984,43.19132,pumpkin patch,community space / recreation
259,5182,-89.3805,43.07125,event center,
259,5257,-89.4102,43.07184,student org club,community space / recreation
262,5216,-77.026,38.8917,museum,community space / recreation
262,5240,-77.0199,38.88816,museum,community space / recreation
262,5275,-89.3902,43.07536,plasma donation,
263,5290,-89.4069,43.03301,attorneyâ€™s office,
264,5295,-89.4067,43.0322,lawyer,
264,5306,-91.4384,44.79672,funeral home,
265,5345,-89.3606,43.08483,dog friend,
268,5382,-90.4012,43.33517,nursing home,
269,5394,-89.4665,43.01423,movie theater,community space / recreation
269,5400,-89.3699,43.11415,country club,community space / recreation
269,5401,-88.5357,42.54898,yacht club,community space / recreation
