algorithm,rec,job,bal_accuracy
glmnet,rec_active,1,0.5956223942823109
glmnet,rec_active,2,0.5973011117653171
glmnet,rec_active,3,0.5789001701669736
glmnet,rec_active,4,0.7132877381533952
glmnet,rec_active,5,0.6474323536882368
glmnet,rec_active,6,0.6750938520793721
glmnet,rec_active,7,0.49892790533425246
glmnet,rec_active,8,0.4813516783489486
glmnet,rec_active,9,0.42793788482055073
glmnet,rec_active,10,0.5385860086761067
glmnet,rec_active,11,0.5956223942823109
glmnet,rec_active,12,0.5973011117653171
glmnet,rec_active,13,0.5789001701669736
glmnet,rec_active,14,0.7132877381533952
glmnet,rec_active,15,0.6474323536882368
glmnet,rec_active,16,0.6750938520793721
glmnet,rec_active,17,0.49892790533425246
glmnet,rec_active,18,0.4813516783489486
glmnet,rec_active,19,0.42793788482055073
glmnet,rec_active,20,0.5385860086761067
glmnet,rec_active,21,0.5956223942823109
glmnet,rec_active,22,0.5973011117653171
glmnet,rec_active,23,0.5789001701669736
glmnet,rec_active,24,0.7132877381533952
glmnet,rec_active,25,0.6474323536882368
glmnet,rec_active,26,0.6750938520793721
glmnet,rec_active,27,0.49892790533425246
glmnet,rec_active,28,0.4813516783489486
glmnet,rec_active,29,0.42793788482055073
glmnet,rec_active,30,0.5385860086761067
glmnet,rec_active,31,0.5956223942823109
glmnet,rec_active,32,0.5973011117653171
glmnet,rec_active,33,0.5789001701669736
glmnet,rec_active,34,0.7132877381533952
glmnet,rec_active,35,0.6474323536882368
glmnet,rec_active,36,0.6750938520793721
glmnet,rec_active,37,0.49892790533425246
glmnet,rec_active,38,0.4813516783489486
glmnet,rec_active,39,0.42793788482055073
glmnet,rec_active,40,0.5385860086761067
glmnet,rec_active,41,0.5956223942823109
glmnet,rec_active,42,0.5973011117653171
glmnet,rec_active,43,0.5789001701669736
glmnet,rec_active,44,0.7132877381533952
glmnet,rec_active,45,0.6474323536882368
glmnet,rec_active,46,0.6750938520793721
glmnet,rec_active,47,0.49892790533425246
glmnet,rec_active,48,0.4813516783489486
glmnet,rec_active,49,0.42793788482055073
glmnet,rec_active,50,0.5385860086761067
glmnet,rec_active,51,0.5956223942823109
glmnet,rec_active,52,0.5973011117653171
glmnet,rec_active,53,0.5789001701669736
glmnet,rec_active,54,0.7132877381533952
glmnet,rec_active,55,0.6474323536882368
glmnet,rec_active,56,0.6750938520793721
glmnet,rec_active,57,0.49892790533425246
glmnet,rec_active,58,0.4813516783489486
glmnet,rec_active,59,0.42793788482055073
glmnet,rec_active,60,0.5385860086761067
glmnet,rec_active,61,0.5956223942823109
glmnet,rec_active,62,0.5973011117653171
glmnet,rec_active,63,0.5789001701669736
glmnet,rec_active,64,0.7132877381533952
glmnet,rec_active,65,0.6474323536882368
glmnet,rec_active,66,0.6750938520793721
glmnet,rec_active,67,0.49892790533425246
glmnet,rec_active,68,0.4813516783489486
glmnet,rec_active,69,0.42793788482055073
glmnet,rec_active,70,0.5385860086761067
glmnet,rec_active,71,0.5956223942823109
glmnet,rec_active,72,0.5973011117653171
glmnet,rec_active,73,0.5789001701669736
glmnet,rec_active,74,0.7132877381533952
glmnet,rec_active,75,0.6474323536882368
glmnet,rec_active,76,0.6750938520793721
glmnet,rec_active,77,0.49892790533425246
glmnet,rec_active,78,0.4813516783489486
glmnet,rec_active,79,0.42793788482055073
glmnet,rec_active,80,0.5385860086761067
glmnet,rec_active,81,0.5956223942823109
glmnet,rec_active,82,0.5973011117653171
glmnet,rec_active,83,0.5789001701669736
glmnet,rec_active,84,0.7132877381533952
glmnet,rec_active,85,0.6474323536882368
glmnet,rec_active,86,0.6750938520793721
glmnet,rec_active,87,0.49892790533425246
glmnet,rec_active,88,0.4813516783489486
glmnet,rec_active,89,0.42793788482055073
glmnet,rec_active,90,0.5385860086761067
glmnet,rec_active,91,0.5956223942823109
glmnet,rec_active,92,0.5973011117653171
glmnet,rec_active,93,0.5789001701669736
glmnet,rec_active,94,0.7132877381533952
glmnet,rec_active,95,0.6474323536882368
glmnet,rec_active,96,0.6750938520793721
glmnet,rec_active,97,0.49892790533425246
glmnet,rec_active,98,0.4813516783489486
glmnet,rec_active,99,0.42793788482055073
glmnet,rec_active,100,0.5385860086761067
glmnet,rec_active,101,0.6021566005349088
glmnet,rec_active,102,0.46056538662172464
glmnet,rec_active,103,0.6378926038500506
glmnet,rec_active,104,0.5891407443131581
glmnet,rec_active,105,0.6041683356030868
glmnet,rec_active,106,0.7514804603212659
glmnet,rec_active,107,0.513558410838127
glmnet,rec_active,108,0.6326999432785025
glmnet,rec_active,109,0.5602723848159954
glmnet,rec_active,110,0.5923539012939811
glmnet,rec_active,111,0.6021566005349088
glmnet,rec_active,112,0.46056538662172464
glmnet,rec_active,113,0.6378926038500506
glmnet,rec_active,114,0.5891407443131581
glmnet,rec_active,115,0.6041683356030868
glmnet,rec_active,116,0.7514804603212659
glmnet,rec_active,117,0.513558410838127
glmnet,rec_active,118,0.6326999432785025
glmnet,rec_active,119,0.5602723848159954
glmnet,rec_active,120,0.5923539012939811
glmnet,rec_active,121,0.6021566005349088
glmnet,rec_active,122,0.46056538662172464
glmnet,rec_active,123,0.6378926038500506
glmnet,rec_active,124,0.5891407443131581
glmnet,rec_active,125,0.6041683356030868
glmnet,rec_active,126,0.7514804603212659
glmnet,rec_active,127,0.513558410838127
glmnet,rec_active,128,0.6326999432785025
glmnet,rec_active,129,0.5602723848159954
glmnet,rec_active,130,0.5923539012939811
glmnet,rec_active,131,0.6021566005349088
glmnet,rec_active,132,0.46056538662172464
glmnet,rec_active,133,0.6378926038500506
glmnet,rec_active,134,0.5891407443131581
glmnet,rec_active,135,0.6041683356030868
glmnet,rec_active,136,0.7514804603212659
glmnet,rec_active,137,0.513558410838127
glmnet,rec_active,138,0.6326999432785025
glmnet,rec_active,139,0.5602723848159954
glmnet,rec_active,140,0.5923539012939811
glmnet,rec_active,141,0.6021566005349088
glmnet,rec_active,142,0.46056538662172464
glmnet,rec_active,143,0.6378926038500506
glmnet,rec_active,144,0.5891407443131581
glmnet,rec_active,145,0.6041683356030868
glmnet,rec_active,146,0.7514804603212659
glmnet,rec_active,147,0.513558410838127
glmnet,rec_active,148,0.6326999432785025
