algorithm,resample,penalty,mixture,n,accuracy,sens,spec,bal_accuracy,roc_auc
glmnet,none,0.006737946999085467,0,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5119193174913882
glmnet,none,0.006737946999085467,0.05,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5287952862959358
glmnet,none,0.006737946999085467,0.1,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5371638117146921
glmnet,none,0.006737946999085467,0.2,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5400262867975132
glmnet,none,0.006737946999085467,0.3,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5670489845661624
glmnet,none,0.006737946999085467,0.4,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5792550045700803
glmnet,none,0.006737946999085467,0.5,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5789685996445167
glmnet,none,0.006737946999085467,0.6,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5875494051341507
glmnet,none,0.006737946999085467,0.7,10,0.9441240930402545,0.9925487907155972,0,0.4962743953577986,0.5980721739642594
glmnet,none,0.006737946999085467,0.8,10,0.9437968946762463,0.9921929188294761,0,0.49609645941473807,0.6117126593946208
glmnet,none,0.006737946999085467,0.9,10,0.9434287965167371,0.9917480789718249,5.076142131979695e-4,0.49612784659251147,0.6171232396081799
glmnet,none,0.006737946999085467,1,10,0.9431424979482299,0.991436691071469,5.076142131979695e-4,0.4959721526423335,0.6204460298342364
glmnet,none,0.0074541086721749295,0,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5117909364350569
glmnet,none,0.0074541086721749295,0.05,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5301201969530136
glmnet,none,0.0074541086721749295,0.1,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5369545578408534
glmnet,none,0.0074541086721749295,0.2,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5415285443256908
glmnet,none,0.0074541086721749295,0.3,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5704719618905978
glmnet,none,0.0074541086721749295,0.4,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5785052089248788
glmnet,none,0.0074541086721749295,0.5,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5800521003160837
glmnet,none,0.0074541086721749295,0.6,10,0.9442467924267576,0.9926822426728925,0,0.49634112133644626,0.5933905401943541
glmnet,none,0.0074541086721749295,0.7,10,0.9439604938582504,0.9923708547725367,0,0.49618542738626836,0.6096374502038486
glmnet,none,0.0074541086721749295,0.8,10,0.9434696963122381,0.9917925629575901,5.076142131979695e-4,0.496150088585394,0.6171251627192119
glmnet,none,0.0074541086721749295,0.9,10,0.9431424979482299,0.991436691071469,5.076142131979695e-4,0.4959721526423335,0.619766617803532
glmnet,none,0.0074541086721749295,1,10,0.9431424979482299,0.9913477230999388,0.0015228426395939086,0.49643528286976635,0.6279986522134963
glmnet,none,0.008246389605637307,0,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5115937683075237
glmnet,none,0.008246389605637307,0.05,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5307149311033404
glmnet,none,0.008246389605637307,0.1,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5353326486426511
glmnet,none,0.008246389605637307,0.2,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5456435057678091
glmnet,none,0.008246389605637307,0.3,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5722004506671537
glmnet,none,0.008246389605637307,0.4,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.576291893239951
glmnet,none,0.008246389605637307,0.5,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5868542811245024
glmnet,none,0.008246389605637307,0.6,10,0.9441240930402545,0.9925487907155972,0,0.4962743953577986,0.6011491609792297
glmnet,none,0.008246389605637307,0.7,10,0.9437559948807452,0.9921484348437111,0,0.49607421742185553,0.6170285951544561
glmnet,none,0.008246389605637307,0.8,10,0.9433878967212361,0.9917035949860598,5.076142131979695e-4,0.4961056045996289,0.619531486699324
glmnet,none,0.008246389605637307,0.9,10,0.9431424979482299,0.9913477230999388,0.0015228426395939086,0.49643528286976635,0.6261609118883095
glmnet,none,0.008246389605637307,1,10,0.9429788987662259,0.9911697871568783,0.0015228426395939086,0.4963463148982361,0.6321213531746823
glmnet,none,0.009122880349438393,0,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5117734557919127
glmnet,none,0.009122880349438393,0.05,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5305305126904232
glmnet,none,0.009122880349438393,0.1,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.533932127644024
glmnet,none,0.009122880349438393,0.2,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.547325258381696
glmnet,none,0.009122880349438393,0.3,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5756348831585957
glmnet,none,0.009122880349438393,0.4,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5775478773693105
glmnet,none,0.009122880349438393,0.5,10,0.9444103916087616,0.992860178615953,0,0.4964300893079765,0.5943143513069606
glmnet,none,0.009122880349438393,0.6,10,0.9439604938582504,0.9923708547725367,0,0.49618542738626836,0.6137782436589149
glmnet,none,0.009122880349438393,0.7,10,0.9434696963122381,0.9917925629575901,5.076142131979695e-4,0.496150088585394,0.6192959538714387
glmnet,none,0.009122880349438393,0.8,10,0.943183397743731,0.991392207085704,0.0015228426395939086,0.49645752486264894,0.6246333990734134
glmnet,none,0.009122880349438393,0.9,10,0.9431424979482299,0.9913477230999388,0.0015228426395939086,0.49643528286976635,0.6311947015582062
glmnet,none,0.009122880349438393,1,10,0.9428152995842217,0.9909918512138178,0.0015228426395939086,0.49625734692670587,0.6364760549664363
glmnet,none,0.010092531380432784,0,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.511968762901355
glmnet,none,0.010092531380432784,0.05,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5303052420610985
glmnet,none,0.010092531380432784,0.1,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5336893477296502
glmnet,none,0.010092531380432784,0.2,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5530023383157853
glmnet,none,0.010092531380432784,0.3,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5751219672467409
glmnet,none,0.010092531380432784,0.4,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5828303395029615
glmnet,none,0.010092531380432784,0.5,10,0.9442058926312565,0.9926377586871274,0,0.4963188793435637,0.6017892928148095
glmnet,none,0.010092531380432784,0.6,10,0.9437968946762463,0.9921929188294761,0,0.49609645941473807,0.6188812954644205
glmnet,none,0.010092531380432784,0.7,10,0.9433878967212361,0.9917035949860598,5.076142131979695e-4,0.4961056045996289,0.6239832178653141
glmnet,none,0.010092531380432784,0.8,10,0.9431424979482299,0.9913477230999388,0.0015228426395939086,0.49643528286976635,0.6308146450710452
glmnet,none,0.010092531380432784,0.9,10,0.9428152995842217,0.9909918512138178,0.0015228426395939086,0.49625734692670587,0.6349382401705489
glmnet,none,0.010092531380432784,1,10,0.9428970991752238,0.9909918512138178,0.0025380710659898475,0.4967649611399038,0.6369824668668617
glmnet,none,0.011165244502115052,0,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5126720495260191
glmnet,none,0.011165244502115052,0.05,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5289998449520381
glmnet,none,0.011165244502115052,0.1,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.534525505888658
glmnet,none,0.011165244502115052,0.2,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5570036228383831
glmnet,none,0.011165244502115052,0.3,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5733942670383169
glmnet,none,0.011165244502115052,0.4,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5905114724148092
glmnet,none,0.011165244502115052,0.5,10,0.9440013936537515,0.9924153387583018,0,0.4962076693791509,0.6142379754354572
glmnet,none,0.011165244502115052,0.6,10,0.9434696963122381,0.9917925629575901,5.076142131979695e-4,0.496150088585394,0.6214130684175607
glmnet,none,0.011165244502115052,0.7,10,0.943183397743731,0.991392207085704,0.0015228426395939086,0.49645752486264894,0.6306770555347264
glmnet,none,0.011165244502115052,0.8,10,0.9431015981527289,0.9913032391141736,0.0015228426395939086,0.4964130408768838,0.6335283299833058
glmnet,none,0.011165244502115052,0.9,10,0.9428152995842217,0.9909918512138178,0.0015228426395939086,0.49625734692670587,0.6366657291910252
glmnet,none,0.011165244502115052,1,10,0.9428561993797228,0.9909473672280527,0.0025380710659898475,0.4967427191470213,0.6372867561456396
glmnet,none,0.01235197395905096,0,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5123785354828347
glmnet,none,0.01235197395905096,0.05,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5286154863892526
glmnet,none,0.01235197395905096,0.1,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.535644358828943
glmnet,none,0.01235197395905096,0.2,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5603302977575053
glmnet,none,0.01235197395905096,0.3,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5766208278496119
glmnet,none,0.01235197395905096,0.4,10,0.9444103916087616,0.992860178615953,0,0.4964300893079765,0.5985379436843131
glmnet,none,0.01235197395905096,0.5,10,0.9439604938582504,0.9923708547725367,0,0.49618542738626836,0.6200252263310608
glmnet,none,0.01235197395905096,0.6,10,0.9433878967212361,0.9917035949860598,5.076142131979695e-4,0.4961056045996289,0.6286417504728988
glmnet,none,0.01235197395905096,0.7,10,0.9431424979482299,0.9913477230999388,0.0015228426395939086,0.49643528286976635,0.632842106212712
glmnet,none,0.01235197395905096,0.8,10,0.9428561993797228,0.9910363351995829,0.0015228426395939086,0.4962795889195884,0.6349785123861085
glmnet,none,0.01235197395905096,0.9,10,0.9428970991752238,0.9909918512138178,0.0025380710659898475,0.4967649611399038,0.6371399183132566
glmnet,none,0.01235197395905096,1,10,0.9428152995842217,0.9909028832422876,0.0025380710659898475,0.4967204771541387,0.6352256437535875
glmnet,none,0.013664838298540717,0,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5122722121834709
glmnet,none,0.013664838298540717,0.05,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.53010025310111
glmnet,none,0.013664838298540717,0.1,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5361811798926374
glmnet,none,0.013664838298540717,0.2,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.562883428564321
glmnet,none,0.013664838298540717,0.3,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5833831622177527
glmnet,none,0.013664838298540717,0.4,10,0.9442058926312565,0.9926377586871274,0,0.4963188793435637,0.6120231809865816
glmnet,none,0.013664838298540717,0.5,10,0.9436741952897433,0.9920594668721808,0,0.4960297334360904,0.6240430237125147
glmnet,none,0.013664838298540717,0.6,10,0.9431424979482299,0.991436691071469,5.076142131979695e-4,0.4959721526423335,0.6312654643946858
glmnet,none,0.013664838298540717,0.7,10,0.9431424979482299,0.9913477230999388,0.0015228426395939086,0.49643528286976635,0.631844189515053
glmnet,none,0.013664838298540717,0.8,10,0.9428152995842217,0.9909918512138178,0.0015228426395939086,0.49625734692670587,0.6358174806621437
glmnet,none,0.013664838298540717,0.9,10,0.9428561993797228,0.9909473672280527,0.0025380710659898475,0.4967427191470213,0.6358308814302116
glmnet,none,0.013664838298540717,1,10,0.9428152995842217,0.9909028832422876,0.0025380710659898475,0.4967204771541387,0.6299299344308846
glmnet,none,0.01511724412181421,0,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5129408306634224
glmnet,none,0.01511724412181421,0.05,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5307542029780831
glmnet,none,0.01511724412181421,0.1,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.537277640614537
glmnet,none,0.01511724412181421,0.2,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5666118211829351
glmnet,none,0.01511724412181421,0.3,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5912817769653479
glmnet,none,0.01511724412181421,0.4,10,0.9440422934492524,0.9924598227440669,0,0.4962299113720334,0.6212468106665238
glmnet,none,0.01511724412181421,0.5,10,0.9434696963122381,0.9917925629575901,5.076142131979695e-4,0.496150088585394,0.6286293508753725
glmnet,none,0.01511724412181421,0.6,10,0.943183397743731,0.991392207085704,0.0015228426395939086,0.49645752486264894,0.631397991328825
glmnet,none,0.01511724412181421,0.7,10,0.94306069835722794,0.9912587551284086,0.0015228426395939086,0.4963907988840012,0.6339844634168388
glmnet,none,0.01511724412181421,0.8,10,0.9428970991752238,0.9909918512138178,0.0025380710659898475,0.4967649611399038,0.6355476373394034
glmnet,none,0.01511724412181421,0.9,10,0.9428561993797228,0.9909473672280527,0.0025380710659898475,0.4967427191470213,0.6307865778260429
glmnet,none,0.01511724412181421,1,10,0.9428152995842217,0.9909918512138178,0.0015228426395939086,0.49625734692670587,0.6224772279158799
glmnet,none,0.016724022988470442,0,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5144900561147471
glmnet,none,0.016724022988470442,0.05,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5314288825210852
glmnet,none,0.016724022988470442,0.1,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5402328654891985
glmnet,none,0.016724022988470442,0.2,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5711164167247956
glmnet,none,0.016724022988470442,0.3,10,0.9445330909952647,0.9929936305732484,0,0.4964968152866242,0.5999775286634119
